Name;ID;BauID;Beschreibung;Verantwortlicher
Mitarbeitersuche;3dd545db-e5c5-49e0-a936-767286f20317;10;"Tätigkeitsbeschreibung:
====================================
Personalrecruiting, Verwaltung von Bewerbungen
-----------------------------------------------------------------------
Geschätzter Umfang von Betroffenen: 
ca. 2000 Bewerber pro Jahr (Mehrfachbewerbungen möglich), tausende in Summe
-----------------------------------------------------------------------
DSFA-Kriterien:

- Verwendung neuer Technologien: Nein

- Scoring/Profiling/Autom. Entscheidungen mit rechtl. Auswirkung: Nein

- umfangreiche Verarbeitung besonderer Kategorien von personenbezogenen Daten (Art.9 oder 10): Nein, Art.10 Daten erst ab Einstellungsgespräch

- Verkettung von Daten aus verschiedenen Verarbeitungstätigkeiten: Nein

- systematische umfangreiche Überwachung: Nein

- besondere Schutzwürdigkeit (Möglichkeiten zum Einspruch sind beschränkt oder die Verarbeitung ist schwer nachvollziehbar bzw. nicht vermeidbar): Nein

- Datenübermittlung in unsichere Drittländer: Nein

- gesetzlicher Auftrag bzw. gesetzliche Grundlage gegeben: Ja

- Blacklisting oder Whitelisting: Ja, DSFA-A02 (Whitelisting)
 
Durchführung einer Datenschutzfolgeabschätzung (DSFA) notwendig: Nein
------------------------------------------------------------------------
====================================";Leiter Personal
Personaladministration Mitarbeiter;5630a382-a48c-4cfd-bafa-a6555d51deaa;10;"Tätigkeitsbeschreibung:
====================================
Personaladministration (Personalaufnahme, -verwaltung,- abrechnung):
Mitarbeiteraufnahme, Gehaltsabrechnung, Abwesenheitsmanagement, Änderungen der Dienstverträge, Arbeitszeitaufzeichnung, Dienstplanung, Beschwerdemanagement, Verwaltung Dienstwohnung, Dienstrechtliche Maßnahmen (Belobigungen, Belohnungen, Beförderung, disziplinäre Maßnahmen), Auswertung Krankenstandstage (dezentral in KHs),

inkl. Personalverwaltung Tischlerei Schlaining (KH Verwaltung OW)

inkl. Zahlungsverkehr (Rechnungswesen)
------------------------------------------------------------------------
Geschätzter Umfang von Betroffenen: 
ca. 2000 Mitarbeiter
-----------------------------------------------------------------------
DSFA-Kriterien:

- Verwendung neuer Technologien: Nein

- Scoring/Profiling/Autom. Entscheidungen mit rechtl. Auswirkung: Nein

- umfangreiche Verarbeitung besonderer Kategorien von personenbezogenen Daten (Art.9 oder 10): Ja

- Verkettung von Daten aus verschiedenen Verarbeitungstätigkeiten: Möglich (Personalcontrolling)

- systematische umfangreiche Überwachung: Nein

- besondere Schutzwürdigkeit (Möglichkeiten zum Einspruch sind beschränkt oder die Verarbeitung ist schwer nachvollziehbar bzw. nicht vermeidbar): Nein

- Datenübermittlung in unsichere Drittländer: Nein

- gesetzlicher Auftrag bzw. gesetzliche Grundlage gegeben: Ja

- Blacklisting oder Whitelisting: Ja, DSFA-A02 (Whitelisting)
 
Durchführung einer Datenschutzfolgeabschätzung (DSFA) notwendig: Nein
------------------------------------------------------------------------
====================================";"Leiter Personal;  KH Verwaltung; Leiter Rechnungswesen"
Personalcontrolling (DSFA ja);e5cd6682-8d2f-45a6-a8e6-d921b1d4edbc;10;"Tätigkeitsbeschreibung:
====================================
Dienstpostenplanung, Personalbudgetplanung
------------------------------------------------------------------------
Geschätzter Umfang von Betroffenen: 
ca. 2000 Mitarbeiter
-----------------------------------------------------------------------
DSFA-Kriterien:

- Verwendung neuer Technologien: Nein

- Scoring/Profiling/Autom. Entscheidungen mit rechtl. Auswirkung: Nein

- umfangreiche Verarbeitung besonderer Kategorien von personenbezogenen Daten (Art.9 oder 10): Nein

- Verkettung von Daten aus verschiedenen Verarbeitungstätigkeiten: Nein

- systematische umfangreiche Überwachung: Nein

- besondere Schutzwürdigkeit (Möglichkeiten zum Einspruch sind beschränkt oder die Verarbeitung ist schwer nachvollziehbar bzw. nicht vermeidbar): Ja

- Datenübermittlung in unsichere Drittländer: Nein

- gesetzlicher Auftrag bzw. gesetzliche Grundlage gegeben: Ja (gesetzliche Anforderung hinsichtlich Steuerprüfung)

- Blacklisting oder Whitelisting: Nein
 
Durchführung einer Datenschutzfolgeabschätzung (DSFA) notwendig: Ja
------------------------------------------------------------------------
====================================";Leiter Personal
Aus- und Fortbildung ext. Schulungsteilnehmer;830ca2c1-a190-40a8-a63c-f8ecacca4b54;10;"Tätigkeitsbeschreibung:
====================================
Schulung, Ausbildung, Fortbildung für externe Teilnehmer
------------------------------------------------------------------------
Geschätzter Umfang von Betroffenen: 
ca. 100 ext. Schulungsteilnehmer pro Jahr
-----------------------------------------------------------------------
DSFA-Kriterien:

- Verwendung neuer Technologien: Nein

- Scoring/Profiling/Autom. Entscheidungen mit rechtl. Auswirkung: Nein

- umfangreiche Verarbeitung besonderer Kategorien von personenbezogenen Daten (Art.9 oder 10): Nein

- Verkettung von Daten aus verschiedenen Verarbeitungstätigkeiten: Nein

- systematische umfangreiche Überwachung: Nein

- besondere Schutzwürdigkeit (Möglichkeiten zum Einspruch sind beschränkt oder die Verarbeitung ist schwer nachvollziehbar bzw. nicht vermeidbar): Nein

- Datenübermittlung in unsichere Drittländer: Nein

- gesetzlicher Auftrag bzw. gesetzliche Grundlage gegeben: ?

- Blacklisting oder Whitelisting: Nein
 
Durchführung einer Datenschutzfolgeabschätzung (DSFA) notwendig: Nein
------------------------------------------------------------------------
====================================";Leiter Personal
Personaladministration ext. Referenten;2806acb3-7141-4f51-a760-ac4cac557e63;10;"Tätigkeitsbeschreibung:
====================================
Administration ext. Referenten (Verwaltung, Abrechnung):
Gebührenabrechnung, Arbeitszeitaufzeichnung
------------------------------------------------------------------------
Geschätzter Umfang von Betroffenen: 
unter 100 ext. Referenten pro Jahr
-----------------------------------------------------------------------
DSFA-Kriterien:

- Verwendung neuer Technologien: Nein

- Scoring/Profiling/Autom. Entscheidungen mit rechtl. Auswirkung: Nein

- umfangreiche Verarbeitung besonderer Kategorien von personenbezogenen Daten (Art.9 oder 10): Nein

- Verkettung von Daten aus verschiedenen Verarbeitungstätigkeiten: Nein

- systematische umfangreiche Überwachung: Nein

- besondere Schutzwürdigkeit (Möglichkeiten zum Einspruch sind beschränkt oder die Verarbeitung ist schwer nachvollziehbar bzw. nicht vermeidbar): Nein

- Datenübermittlung in unsichere Drittländer: Nein

- gesetzlicher Auftrag bzw. gesetzliche Grundlage gegeben: Ja

- Blacklisting oder Whitelisting: Ja, DSFA-A02 (Whitelisting)
 
Durchführung einer Datenschutzfolgeabschätzung (DSFA) notwendig: Nein
------------------------------------------------------------------------
====================================";Leiter Personal
Aus- und Fortbildung Mitarbeiter ;d8fe1804-b398-4d06-b54a-0088de8098de;10;"Tätigkeitsbeschreibung:
====================================
Personalentwicklung, Schulung, Ausbildung, Fortbildung
------------------------------------------------------------------------
Geschätzter Umfang von Betroffenen: 
ca. 1000 Mitarbeiter
-----------------------------------------------------------------------
DSFA-Kriterien:

- Verwendung neuer Technologien: Nein

- Scoring/Profiling/Autom. Entscheidungen mit rechtl. Auswirkung: Nein

- umfangreiche Verarbeitung besonderer Kategorien von personenbezogenen Daten (Art.9 oder 10): Nein

- Verkettung von Daten aus verschiedenen Verarbeitungstätigkeiten: Nein

- systematische umfangreiche Überwachung: Nein

- besondere Schutzwürdigkeit (Möglichkeiten zum Einspruch sind beschränkt oder die Verarbeitung ist schwer nachvollziehbar bzw. nicht vermeidbar): Nein

- Datenübermittlung in unsichere Drittländer: Nein

- gesetzlicher Auftrag bzw. gesetzliche Grundlage gegeben: tlw.

- Blacklisting oder Whitelisting: Nein
 
Durchführung einer Datenschutzfolgeabschätzung (DSFA) notwendig: Nein
------------------------------------------------------------------------
====================================";Leiter Personal
Patientenadministration Patienten;127d22a2-925f-46a4-8355-be0be62c68e2;10;"Tätigkeitsbeschreibung: Administration der Behandlung, Einbringung der LKF-Gebühren, Pflege(Sonder)gebühren und Kostenbeiträge, Verrechnung mit Versicherungen
====================================

------------------------------------------------------------------------
Geschätzter Umfang von Betroffenen: 

-----------------------------------------------------------------------
DSFA-Kriterien:

- Verwendung neuer Technologien: 

- Scoring/Profiling/Autom. Entscheidungen mit rechtl. Auswirkung: 

- umfangreiche Verarbeitung besonderer Kategorien von personenbezogenen Daten (Art.9 oder 10): 

- Verkettung von Daten aus verschiedenen Verarbeitungstätigkeiten: 

- systematische umfangreiche Überwachung: 

- besondere Schutzwürdigkeit (Möglichkeiten zum Einspruch sind beschränkt oder die Verarbeitung ist schwer nachvollziehbar bzw. nicht vermeidbar): 

- Datenübermittlung in unsichere Drittländer: 

- gesetzlicher Auftrag bzw. gesetzliche Grundlage gegeben: 

- Blacklisting oder Whitelisting: 
 
Durchführung einer Datenschutzfolgeabschätzung (DSFA) notwendig: 
------------------------------------------------------------------------
====================================";Kollegiale Führung
Stationäre/ambulante medizinische-pflegerische Aufnahme (inkl. Triage) med-pfl Mitarbeiter (DSFA ja?);352d7d27-25e6-471f-8909-e67cd1eec7f3;10;"Tätigkeitsbeschreibung:
====================================

------------------------------------------------------------------------
Geschätzter Umfang von Betroffenen: 

-----------------------------------------------------------------------
DSFA-Kriterien:

- Verwendung neuer Technologien: 

- Scoring/Profiling/Autom. Entscheidungen mit rechtl. Auswirkung: 

- umfangreiche Verarbeitung besonderer Kategorien von personenbezogenen Daten (Art.9 oder 10): 

- Verkettung von Daten aus verschiedenen Verarbeitungstätigkeiten: 

- systematische umfangreiche Überwachung: 

- besondere Schutzwürdigkeit (Möglichkeiten zum Einspruch sind beschränkt oder die Verarbeitung ist schwer nachvollziehbar bzw. nicht vermeidbar): 

- Datenübermittlung in unsichere Drittländer: 

- gesetzlicher Auftrag bzw. gesetzliche Grundlage gegeben: 

- Blacklisting oder Whitelisting: 
 
Durchführung einer Datenschutzfolgeabschätzung (DSFA) notwendig: 
------------------------------------------------------------------------
====================================";Kollegiale Führung
Medizinisch-pflegerische Behandlung/Planung med-pfl Mitarbeiter (DSFA ja?);11a7f817-05e3-4f26-bc19-aa21cc136848;10;;Kollegiale Führung
Medizinisch-pflegerische Entlassung med-pfl Mitarbeiter (DSFA ja?);1c4f471a-1256-444a-b711-fa90620d8081;10;;Kollegiale Führung
