Name;ID;Beschreibung
Produktion;2f0c24c5-671f-49fe-aeea-f56803217f6e;"Prozessbeschreibung:
==============================================================
Anzahl der Mitarbeiter: 250

Durchgefhrte T„tigkeiten:
==============================================================



Auswirkungen bei Nichtverfgbarkeit der gesamten IT:
==============================================================

Aufgrund von JustInTime-Vereinbarungen mit den Automobilkonzernen entsteht sehr schnell, sehr groáer Schaden.

Auswirkungen bei Verlust der Vertraulichkeit (wenn Daten nach auáen gelangen)
==============================================================

In einer frhen Produktphase kritisch -> KnowHow Vorsprung geht verloren (Substitute m”glich). 

Auswirkungen bei Verlust der Integrit„t (wenn Daten ver„ndert werden)
==============================================================

Wrde innerhalb krzester Zeit bemerkt werden.


Auswirkungen, wenn rechtliche Bestimmungen nicht eingehalten werden
==============================================================

Produkthaftung."
Forschung&Entwicklung;ab8ed214-9589-4181-9f91-b9089a7973b5;"Prozessbeschreibung:
==============================================================
Anzahl der Mitarbeiter: 25

Durchgefhrte T„tigkeiten:
==============================================================

- Explorative Forschung
- Produktentwicklung

Auswirkungen bei Nichtverfgbarkeit der gesamten IT:
==============================================================

- Mitarbeiter k”nnen unterledigte Arbeiten durchfhren
- Eventuell Urlaub oder Zeitausgleich

Auswirkungen bei Verlust der Vertraulichkeit (wenn Daten nach auáen gelangen)
==============================================================

Imagesch„den, Wettbewerbsvorteile werden verspielt. 

Auswirkungen bei Verlust der Integrit„t (wenn Daten ver„ndert werden)
==============================================================

Ver„nderungen wrden sofort erkannt werden. Ver„nderungen selbst sind nicht die gr”áte Gefahr. Mehr die Verbreitung.


Auswirkungen, wenn rechtliche Bestimmungen nicht eingehalten werden
==============================================================

Haftung der Gesch„ftsfhrung, falls rechtliche Bestimmungen nicht eingehalten werden."
Finanzen&Controlling;cb97a934-d6fe-46dc-a70e-d07ab0144e64;"Prozessbeschreibung:
==============================================================
Anzahl der Mitarbeiter: 14

Durchgefhrte T„tigkeiten:
==============================================================

- Debitorenbuchhaltung
- Kreditorenbuchhaltung
- Rechnungsprfung (Scannen von j„hrlich 25.000 Eingangsrechnungen)
- Berichtswesen

Auswirkungen bei Nichtverfgbarkeit der gesamten IT:
==============================================================

Auswirkungen bei Nichtverfgbarkeit: Skonti k”nnen nicht genutzt werden,  Ausgangsrechnungen k”nnen nicht gestellt werden, Zinsverlust, Eingangsrechnungen k”nnen nicht gescannt werden, Konzernberichte k”nnen nicht geliefert werden (am Ende des Quartals kritisch). Wenn Prozess nicht verfgbar:
- Mitarbeiter k”nnen unterledigte Arbeiten durchfhren
- Eventuell Urlaub oder Zeitausgleich

Auswirkungen bei Verlust der Vertraulichkeit (wenn Daten nach auáen gelangen)
==============================================================

Auswirkungen bei Vertraulichkeitsverlust: Imagesch„den, verschlechterte Verhandlungsposition gegenber Kunden und Lieferanten. Folgesch„den wenn die Vorf„lle innerhalb der Branche bekannt werden.

Auswirkungen bei Verlust der Integrit„t (wenn Daten ver„ndert werden)
==============================================================

Beispiele fr Integrit„tsverlust: Kostenartengruppen werden entfernt, d.h. die Berichte sind falsch. Dies wird erkannt und kann mit Nachbearbeitung kompensiert werden. Falls Kontonummern ver„ndert werden entsteht ein geringer finanzieller Schaden, die Erkennung erfolgt mit den Mahnungen der Lieferanten.

Auswirkungen, wenn rechtliche Bestimmungen nicht eingehalten werden
==============================================================

Haftung der Gesch„ftsfhrung, falls rechtliche Bestimmungen nicht eingehalten werden."
SAP Applikation;cefb7c8c-88da-4a8d-9495-23f3ad51a049;
E-Mail;bc5f3c39-dc2d-4a7d-bc98-2db37b469625;Ein E-Mail-System setzt sich aus mehreren Diensten zusammen, die dem Benutzer den Versand elektronischer Post erm”glichen. 
File Service;a538c8ef-bc7f-4b1b-9d3c-8fdec9bec151;File- und Printservices stellen als Funktionalit„t innerhalb eines Netzwerkes sicher, dass z.B. nicht jeder Mitarbeiter einen eigenen Drucker am Arbeitsplatz ben”tigt und dass Festplattenkapazit„ten effizienter genutzt werden k”nnen. 
Geb„ude Wien;610fa975-ff81-43a8-a4b6-22f10e23c799;
Serverraum001;68acc019-2262-4ab5-a811-507f2a06efba;Der Serverraum 001 wird auch als der groáe Serverraum bezeichnet. 
Serverraum002;816fe8c7-b870-4077-966d-faf0ab5c2403;
Stromversorgung-Wien;21cacea3-142b-40ba-87aa-c243741f9906;
Exchange Applikation;a23fa32d-b606-40ea-bff5-b07fbfaa3554;
DHCP;5533783b-da33-4640-b2bb-d7ced7cee11f;
DNS;ae1e8a9d-e2a9-492f-8d4f-d0aa067d2cd3;
Active Directory;6224ac82-936b-46a0-aed2-c571dc74d402;
Oracle;a631aaf3-d0a7-4a50-921f-006917ede708;
Firewall1;64a5e21e-fe10-417e-bd4e-134d5d4b223b;
Firewall2;3c8f81f2-68aa-4055-a02b-c441d35eef6f;
Internet-Anbindung;626540dd-6f30-4a07-873f-78f49b6c2e59;
LAN Landstrasse;9cf94ef3-5521-4e3f-9bd0-2d693645c111;
MPLS Netz;63230df3-49bf-4182-ad0e-ab42b1dc0ae5;
Node202;fc6399d2-15c3-4537-ad47-34cbd2431b5e;
Basisdienste;78fd5707-d2a1-481e-b8cd-7736bca65103;Die Basisdienste sind fr den Benutzer direkt nicht sichtbar, gew„hrleisten allerdings das reibungslose Arbeiten auf Netzwerkebene. 
Windows-Client-OS;9a794241-aa6e-45bc-a645-287cc91ff329;Windows 7
Standard-Client-Hardware;b48658c9-42da-4167-a682-6f9d44eedd20;
Server003;5e5130e0-387d-4c4c-84a7-0d4a8b50769e;
High-Level-Server-Hardware;b03f49df-0af9-48aa-b748-a12799790ca2;
Unix-Server-OS;48f7b25c-010e-48b5-9c55-c3e369e033c8;Solaris 11
Cluster;263bade9-a135-4f54-aa54-af7dc31fdfb5;
Node201;491f1045-019b-4147-b084-3607cff0584f;
Cluster-Server-Hardware;a5b6ea00-2b08-4748-9b18-1bcff1faed4f;
Server004;888eb20b-3cd0-4484-b27e-d143eab35e2f;
Windows-Server-OS;ba265ab1-eed3-489c-9e10-eef0c4f302c3;Windows Server 2012
Standard-Server-Hardware;33069ba6-7674-464c-9ddf-324bbe7958c0;
Office Applikation;630d609b-2682-46e8-a850-d7f79400d955;
LAN-Verkabelung;70339457-fb61-4832-95ba-6d6bcdc608c8;
Geb„ude Linz;1548650e-3aad-443a-b278-e58798b439c6;
SAN;84d9471b-91a2-4414-a280-d4029be73207;
Backup;ce0c4303-ad61-406e-b221-d5c293aefc67;
Datentr„gerarchiv;1e24e62a-cb9d-480b-a575-6b5e5c408f2f;
Anwender;87958c2c-9032-4686-aaa6-39dfb719d972;
Zeiterfassungs-Applikation;60890452-ddac-4028-885e-74b416c06683;
Service Portfolio Management;e2c4be47-fb87-4862-943e-51eb1909766f;
Content Security;32634646-da51-4e99-a403-25bb02786c1a;
SAP Service;758c70a8-d9e7-442d-8cfb-99fb2cca1ed7;SAP ist eine betriebswirtschaftliche Standardsoftware mit dem Ziel, automatisierbare Abl„ufe in ein Anwendungssystem zu integrieren und zur Verfgung zu stellen. 
Active Directory Service;23d96313-e217-4e66-8f80-3438d1daeaa3;Bei einem Active Directory handelt es sich um einen Verzeichnisdienst, der es erm”glich, ein Netzwerk entsprechend der realen Struktur eines Unternehmens oder seiner r„umlichen Verteilung zu gliedern. 
Projektplanung (Frontend);3188c95d-8c9e-4bdc-acb7-c965f3bd4781;Der Frontend-Bereich der Projektplanung soll den Mitarbeitern der Forschungs- und Entwicklungsabteilung ein effektiveres und effezienteres Arbeiten erm”glichen. 
Backup Service;09f50237-5e50-4eaf-b7f0-1c7b7af50435;Um unternehmenswichtige Daten auf l„ngere Zeit zu sichern und auch bei Ausf„llen eine rasche Wiederaufnahme des IT-Betriebs zu erm”glichen, ist eine Backup--L”sung unumg„nglich. Der Datenverlust muss stets so gering wie nur irgendwie m”glich gehalten werden. 
Service Asset and Configuration Management;6b540922-d73e-4f97-8a6e-4c14a9cdbb8a;
Service Strategy;0222f952-9d9c-40e3-8af2-882329931e52;
IT Service Continuity Management;06338c24-8191-4d0c-afb2-cb1328440542;
Availability Management;c918aad0-8e1e-4357-9a30-e6e0762ce99c;
Netzwerk-Architektur;0ff5ea53-f2ec-48f5-93f0-82eb7017d949;
Continual Service Improvement (CSI);106e1142-9c79-48fc-8510-1081c4a8db09;
Service Desk;d9acbe42-03f1-4c74-a05d-429ac4e636f2;
Supplier Management;53019af3-e979-47e5-8207-21b1bdb3b282;
Service Operation;cfa3a092-bdb7-4f68-9c12-5cfde96d007c;
Request Fulfilment;e088f56a-a406-4932-b9b6-b350a27bc08f;
Evaluation;558fbc92-415d-4f82-8003-436b0b0e53cf;
SLA Internet Service Provider;dd904b95-4f43-46cf-af2e-b90cd33de377;
Risk AG (ISMS);e08a7b4b-0631-4c3f-b136-ef8d5041544c;
;60ca34eb-bf80-4e82-914d-ac8ee327f11c;kein Folgeschaden
;8ffeb5ed-b9d3-4c52-b3e8-78c82811cd6e;kein Folgeschaden
;6dfe4bc3-e40d-4b60-9ccc-c66800ef8aa6;+ Folgeschaden
;597b05da-e456-437f-98f7-222a8390d476;+ existenzbedrohender Folgeschaden
;5d3ff206-cd1f-47e9-b202-0f56e78cff51;kein Folgeschaden
SpeedDev SLA;9086e096-6954-47e9-bb56-27c37e820586;
Belegarchivierungs-Service;e7864397-4c98-45ac-affa-37fe12c70c68;Bei der Belegarchivierung handelt es sich um eine zertifizierte Archivierungsl”sung und revisionssichere Ablage. Die Belegarchivierung  wird in der RiskAG ber einen SLA betreut.
Server028;897189f7-e19f-46f6-bc39-30a6dfb77bd4;
Incident Management;4c065191-e3cd-4814-a18a-da34c4b7136f;
Netzwerk Services;316a2e2d-2cbe-43ba-972c-e039e37d5753;Die Netzwerk Services repr„sentieren das zentrale Nervensystem eines modernen Unternehmens. 
IT-Sicherheitsvorfallmanagement;2cfddc61-cf78-423a-81ea-9e2d35181d46;
DHCP Service;da617451-1c23-41ab-897a-9e7c0a319414;DHCP versorgt die PCs mit den notwendigen Informationen ber die Netzwerkkonfiguration. 
Belegarchivierung- Dokumentenmanagementsystem;cb4be686-60fc-4377-b154-83ca2c333d57;
Belegarchivierung;50249c0d-df34-4754-96c1-04b0c3e59542;Das Dokumentenverwaltungssystem wird von einem externen Lieferanten bezogen. Der Zugriff erfolgt ber eine Citrix Application-Delivery-L”sung. 
IT-Prozesse ITIL V3;c05a2c5e-d145-4e21-8584-f80114cb8106;"ITIL V3 fr den Einsatz im Unternehmen deren IT-Prozesslandschaftmit grunds„tzlich auf ITIL basiert. 

Anmerkung: Fr Unternehmen mit ITIL V2 ist eine Umsetzung in Verbindung mit den ITIL V3 Bausteinen insofern sinnvoll, dass eine etwaige Aktualisierung einfacher vorgenommen werden kann. 

Die Verwendung von lediglich einer ITIL-Version (entweder ITIL V2 oder ITIL V3) ist zu empfehlen.

ITIL V3 ist der aktuelle Standard fr Servicemanagement. "
Exchange-Service;05bbaae7-bff0-4cfb-a582-50dd5d6bcb6d;Das Exchange-Service erm”glicht eine zentrale Verwaltung von E-Mails, Aufgaben, Kalender- und Kontaktdaten, sowie ein zentrales Backup der am Exchange-Server gespeicherten Daten. 
Standardarbeitsplatz MAC ;6fe068f4-fcfe-4168-b1ab-b138f28d5138;
Stromversorgung-Linz;3d1c1cd9-50a4-4b69-a755-64ea3c590fe3;
Demand Management;3a8b6271-8efa-4980-b274-9604d85bc9b0;
IT-Prozesse;5d14b780-4a9e-4737-84af-23775643fd2f;
Release and Deployment Management;0d84a50d-752e-4c25-9a98-f955def5869e;
Fax Infrastruktur;eadb62d8-fcec-48da-ba16-7bdbcb764487;
Anwenderregelungen;fd84844d-9353-4547-bd10-013aa9a718a2;
Service Catalogue Management;b6396f2d-d7bb-417f-94c1-dc6b9a69b473;
Financial Management;53ae41df-dbb6-42f4-b88f-46c4c53292e3;
Node101;64238289-00e8-41b2-b51b-9b6b3fe400cb;
Event Management;9a796e18-a663-4839-8b3f-874a9f5f3346;
Drucker und Fax Infrastruktur;e20285db-92ef-44b0-9e00-6f8e057d7ea8;
Cluster002(gleiches RZ);a8efc97c-b7da-4347-9a62-b86c91b53142;
Apache Webserver;3d73cb69-8875-442f-b2b9-672c892d7182;
Capacity Management;d2420fc9-8102-43d0-b2be-41562ae505a9;
Transition Planning and Support;cb0a1f86-2b9a-4de0-b0f7-d77c4a55e667;
Cluster001(Geocluster);255f24bf-c4f8-4a49-ba6d-efb854df7a31;
SAP;f3c72797-3aab-486f-a656-9e518d00717c;SAP untersttzt die Abwicklung s„mtlicher Gesch„ftsprozesse eines Unternehmens wie Buchfhrung, Controlling, Vertrieb, Einkauf, Produktion, Lagerhaltung und Personalwesen.
